forecast_month,region,product_id,product,predicted_revenue,predicted_profit,growth_percent,confidence,lower_bound,upper_bound,forecast_reason
2026-06,North,P001,CloudSync Pro,73091.7,47509.61,14.0,88,65782.53,80400.87,Holiday budget allocation expected to boost sales
2026-06,North,P002,DataVault Enterprise,145625.56,90287.85,8.0,84,131063.0,160188.12,Supplier delay resolved -- full inventory restored
2026-06,North,P003,NetShield Plus,48970.5,34279.35,11.5,92,44073.45,53867.55,YoY growth trajectory maintained from 2025 H2
2026-06,North,P004,AnalyticsEdge,92202.28,55321.37,5.6,85,82982.05,101422.51,Marketing campaigns scheduled for Q4 2026
2026-06,North,P005,ConnectBridge,58299.38,39643.58,13.0,96,52469.44,64129.32,Back-to-school and IT procurement cycle
2026-06,North,P006,StorageMax HDD,199817.47,89917.86,13.6,97,179835.72,219799.22,Expected recovery following May 2026 stockout resolution
2026-06,North,P007,ServerLink X1,319930.82,127972.33,6.1,94,287937.74,351923.9,Expected recovery following May 2026 stockout resolution
2026-06,North,P008,CyberAudit Suite,117903.42,84890.46,12.3,95,106113.08,129693.76,Optimistic estimate based on South expansion momentum
2026-06,North,P009,WorkflowPro,48780.67,32683.05,13.8,76,43902.6,53658.74,Marketing campaigns scheduled for Q4 2026
2026-06,North,P010,InsightDash,81883.11,51586.36,10.8,90,73694.8,90071.42,Expected recovery following May 2026 stockout resolution
2026-06,North,P011,APIGateway Pro,63375.24,43728.92,8.7,82,57037.72,69712.76,Post-Q2 recovery driven by H2 seasonality
2026-06,North,P012,BackupCloud Ultra,39111.1,27768.88,10.3,89,35199.99,43022.21,Supplier delay resolved -- full inventory restored
2026-06,South,P001,CloudSync Pro,67423.59,43825.33,14.2,83,60681.23,74165.95,Supplier delay resolved -- full inventory restored
2026-06,South,P002,DataVault Enterprise,126955.02,78712.11,7.6,82,114259.52,139650.52,Post-Q2 recovery driven by H2 seasonality
2026-06,South,P003,NetShield Plus,44895.17,31426.62,5.5,80,40405.65,49384.69,Supplier delay resolved -- full inventory restored
2026-06,South,P004,AnalyticsEdge,100293.27,60175.96,5.4,72,90263.94,110322.6,Supplier delay resolved -- full inventory restored
2026-06,South,P005,ConnectBridge,64672.42,43977.25,7.8,78,58205.18,71139.66,Post-Q2 recovery driven by H2 seasonality
