campaign_id,campaign_name,channel,region,budget,spend,clicks,conversions,revenue_attributed,roi,campaign_start,campaign_end,campaign_month
CMP001,Conversion 2024 -- Meta Ads (East),Meta Ads,East,69572.07,66415.99,15544,1206,2751064.53,4042.2,2024-10-02,2024-10-16,2024-10
CMP002,Enterprise 2026 -- LinkedIn (North),LinkedIn,North,64518.23,64194.78,14253,1925,3535142.5,5406.9,2026-05-10,2026-05-19,2026-05
CMP003,SMB 2026 -- Email (Central),Email,Central,25563.31,22801.99,20086,2854,5085844.86,22204.4,2026-04-04,2026-04-12,2026-04
CMP004,Q3 2026 -- LinkedIn (South),LinkedIn,South,93263.97,74519.69,36910,5596,11962144.77,15952.3,2026-04-12,2026-04-28,2026-04
CMP005,Product Launch 2025 -- Content Marketing (West),Content Marketing,West,19576.22,17027.21,25629,2781,4755193.95,27827.0,2025-11-04,2025-11-24,2025-11
CMP006,Q4 2024 -- Webinar (East),Webinar,East,80147.93,78034.95,31762,5297,5655685.16,7147.6,2024-04-05,2024-04-21,2024-04
CMP007,Retargeting 2024 -- Email (North),Email,North,14620.47,14155.22,21134,1986,882666.13,6135.6,2024-06-06,2024-06-21,2024-06
CMP008,Awareness 2024 -- Email (North),Email,North,82089.36,73003.96,12519,2122,2168337.93,2870.2,2024-06-01,2024-06-14,2024-06
CMP009,Product Launch 2025 -- Email (East),Email,East,55835.9,50196.06,1220,44,37203.36,-25.9,2025-07-04,2025-07-24,2025-07
CMP010,Q4 2025 -- LinkedIn (East),LinkedIn,East,61933.48,50124.89,43546,1792,3198153.71,6280.4,2025-01-14,2025-01-28,2025-01
CMP011,Product Launch 2026 -- Webinar (North),Webinar,North,96663.48,81248.45,8466,987,2124788.75,2515.2,2026-04-07,2026-04-25,2026-04
CMP012,Enterprise 2024 -- LinkedIn (North),LinkedIn,North,98566.64,74099.64,43900,1441,3461695.62,4571.7,2024-10-15,2024-10-24,2024-10
CMP013,Seasonal 2026 -- Webinar (North),Webinar,North,45292.58,38671.69,38566,3607,5303527.38,13614.2,2026-01-02,2026-01-22,2026-01
CMP014,Q2 2026 -- Content Marketing (East),Content Marketing,East,18234.93,7741.85,15338,309,320848.97,4044.3,2026-05-11,2026-05-26,2026-05
CMP015,Brand 2024 -- Events (Central),Events,Central,86100.97,78911.74,24806,3799,6145109.22,7687.3,2024-11-13,2024-11-23,2024-11
CMP016,Retargeting 2025 -- Content Marketing (Central),Content Marketing,Central,93555.94,71887.83,17481,2210,3080031.62,4184.5,2025-08-03,2025-08-13,2025-08
CMP017,Enterprise 2025 -- Webinar (West),Webinar,West,86327.44,85004.23,20975,2851,898028.29,956.5,2025-11-04,2025-11-21,2025-11
CMP018,Q3 2024 -- Meta Ads (South),Meta Ads,South,6994.17,5618.63,5548,578,1423334.16,25232.4,2024-09-09,2024-09-18,2024-09
CMP019,Retargeting 2025 -- Google Ads (East),Google Ads,East,64600.95,60043.09,2104,94,105433.31,75.6,2025-07-02,2025-07-19,2025-07
CMP020,Enterprise 2026 -- Webinar (North),Webinar,North,53140.58,44065.02,41204,4842,1478632.45,3255.6,2026-04-10,2026-04-20,2026-04
CMP021,Q3 2025 -- Email (West),Email,West,26406.18,23616.4,4638,621,1164564.87,4831.2,2025-01-14,2025-01-24,2025-01
CMP022,Retargeting 2024 -- LinkedIn (South),LinkedIn,South,81478.92,77507.7,6864,329,735956.24,849.5,2024-09-03,2024-09-24,2024-09
CMP023,Product Launch 2026 -- Email (South),Email,South,58928.69,56654.92,11040,1874,1659614.58,2829.3,2026-03-10,2026-03-28,2026-03
CMP024,Brand 2025 -- Email (Central),Email,Central,31450.01,31146.78,41474,3677,6630239.57,21187.1,2025-05-05,2025-05-22,2025-05
CMP025,Q2 2026 -- Email (Central),Email,Central,12066.62,11412.47,14785,817,940613.21,8142.0,2026-01-14,2026-01-28,2026-01
CMP026,Brand 2026 -- Events (North),Events,North,52469.8,40469.6,22085,1562,1510675.84,3632.9,2026-05-01,2026-05-13,2026-05
CMP027,Q3 2026 -- Content Marketing (North),Content Marketing,North,79099.88,69818.43,40160,1138,2637191.76,3677.2,2026-04-12,2026-04-28,2026-04
CMP028,Awareness 2026 -- Google Ads (Central),Google Ads,Central,30312.43,25691.1,15625,1482,627093.67,2340.9,2026-02-01,2026-02-19,2026-02
CMP029,Q4 2025 -- Webinar (South),Webinar,South,18846.65,15661.57,19661,621,1255236.3,7914.8,2025-07-12,2025-07-19,2025-07
CMP030,Product Launch 2025 -- Events (South),Events,South,58938.52,51419.52,15101,2045,4969150.91,9563.9,2025-06-11,2025-06-27,2025-06
CMP031,Product Launch 2026 -- Meta Ads (Central),Meta Ads,Central,35005.48,29284.33,37183,6464,13366845.95,45545.0,2026-03-08,2026-03-28,2026-03
CMP032,Q2 2025 -- Webinar (East),Webinar,East,11117.11,10214.99,25858,4502,5500168.02,53744.1,2025-05-11,2025-05-19,2025-05
CMP033,Enterprise 2026 -- Webinar (South),Webinar,South,95994.97,83108.04,28451,1042,548857.65,560.4,2026-04-03,2026-04-15,2026-04
CMP034,Q1 2026 -- LinkedIn (Central),LinkedIn,Central,80665.85,71450.59,23890,1998,1469978.7,1957.3,2026-02-04,2026-02-14,2026-02
CMP035,Holiday 2024 -- Webinar (Central),Webinar,Central,99451.5,88477.51,33707,3189,7684339.35,8585.1,2024-10-03,2024-10-20,2024-10
CMP036,Retargeting 2024 -- Content Marketing (South),Content Marketing,South,73031.09,64354.34,5654,268,318179.08,394.4,2024-01-15,2024-01-28,2024-01
CMP037,Q3 2025 -- LinkedIn (West),LinkedIn,West,5253.59,4115.84,4397,522,1114804.83,26985.7,2025-09-06,2025-09-15,2025-09
CMP038,Regional 2024 -- LinkedIn (Central),LinkedIn,Central,68974.71,59263.99,10696,1052,1883858.08,3078.8,2024-09-08,2024-09-19,2024-09
